Unit,Price           (1 - 500),Tab,Country,Is Command,Is Prototype,Amphibious,Speed              (23 km - 1100km),Autonomy          (60 km+),Strength         (2 - 300),Optics Ground         (40 - 220),Optics Air         (10 - 900),Optics Anti-Radar         (300 - 500),Stealth                           (0.7 - 3),Size Modifier                  (-0.2 - 0.1),Front Armor       (0 - 23),Side Armor      (0 - 12),Rear Armor       (0 - 6),Top Armor      (0 - 4),Weapon1 Type,Weapon1 HE                  (0 - 30),Weapon1 AP               (0 - 200),Weapon1 Fire Starting Probability                  (0 - 100%),Weapon1 Ammo,Weapon1 Aim Time,Weapon1 Time Between Shots,Weapon1 Shots Per Salvo,Weapon1 Reload Time,Weapon1 Dmg Radius,Weapon1 Surpress Radius,Weapon1 Accuracy,Weapon1 Accuracy While Moving,Weapon1 Range Ground,Weapon1 Range Ground Minimum,Weapon1 Range Helicopters,Weapon1 Range Helicopters Minimum,Weapon1 Range Planes,Weapon1 Range Planes Minimum,Weapon1 Range Ships,Weapon1 Range Ships Minimum,Weapon1 Supply Cost Per Salvo,Weapon2 Type,Weapon2 HE,Weapon2 AP,Weapon2 Fire Starting Probability                  (0 - 100%),Weapon2 Ammo,Weapon2 Aim Time,Weapon2 Time Between Shots,Weapon2 Shots Per Salvo,Weapon2 Reload Time,Weapon2 Damage Radius,Weapon2 Surpress Radius,Weapon2 Accuracy,Weapon2 Accuracy While Moving,Weapon2 Range Ground,Weapon2 Range Ground Minimum,Weapon2 Range Helicopters,Weapon2 Range Helicopters Minimum,Weapon2 Range Planes,Weapon2 Range Planes Minimum,Weapon2 Range Ships,Weapon2 Range Ships Minimum,Weapon2 Supply Cost Per Salvo,Weapon3 Type,Weapon3 HE,Weapon3 AP,Weapon3 Fire Starting Probability                  (0 - 100%),Weapon3 Ammo,Weapon3 Aim Time,Weapon3 Time Between Shots,Weapon3 Shots Per Salvo,Weapon3 Reload Time,Weapon3 Damage Radius,Weapon3 Surpress Radius,Weapon3 Accuracy,Weapon3 Accuracy While Moving,Weapon3 Range Ground,Weapon3 Range Ground Minimum,Weapon3 Range Helicopters,Weapon3 Range Helicopters Minimum,Weapon3 Range Planes,Weapon3 Range Planes Minimum,Weapon3 Range Ships,Weapon3 Range Ships Minimum,Weapon3 Supply Cost Per Salvo,Year,Decks
2S3 AKATSIYA,55,SUP,Soviet Union,FALSE,FALSE,FALSE,50 km/h,500 km,10,40,10,,1,0.05,2,1,1,1,Howitzer,7,,30%,40,30 s,12 s,10,30 s,106 m,213 m,,,18550 m,1855 m,,,,,18550 m,1855 m,250,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,15%,5%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1971,Mechanized|Armored|Support
2S7M MALKA,120,SUP,Soviet Union,FALSE,FALSE,FALSE,50 km/h,500 km,10,40,10,,1,0.05,2,1,1,4,Howitzer,10,,30%,8,35 s,15 s,8,30 s,142 m,284 m,,,42000 m,4200 m,,,,,42000 m,4200 m,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,Mechanized|Armored|Support
2S7 PION,100,SUP,Soviet Union,FALSE,FALSE,FALSE,50 km/h,500 km,10,40,10,,1,0.05,2,1,1,4,Howitzer,10,,30%,4,35 s,15 s,4,30 s,142 m,284 m,,,37450 m,3745 m,,,,,37450 m,3745 m,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Armored|Support
2S7 PIWONIA,100,SUP,Poland,FALSE,FALSE,FALSE,50 km/h,500 km,10,40,10,,1,0.05,2,1,1,4,Howitzer,10,,30%,4,35 s,15 s,4,30 s,142 m,284 m,,,37450 m,3745 m,,,,,37450 m,3745 m,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,Mechanized|Armored|Support
2S9 NONA,50,SUP,Soviet Union,FALSE,FALSE,TRUE,50 km/h,500 km,10,40,10,,1,,1,1,1,1,Mortar,5,,30%,39,8 s,4 s,3,12 s,42 m,126 m,,,7700 m,770 m,,,,,7700 m,770 m,120,Main Gun,1,14,,5,1 s,1 s,1,8 s,2 m,210 m,20%,,1925 m,,,,,,1925 m,,20,,,,,,,,,,,,,,,,,,,,,,,1981,Mechanized|Motorized|Marine|Airborne|Armored|Support
GROUPE DE CMDT,100,LOG,France,TRUE,FALSE,FALSE,30 km/h,,5,80,40,,2,-0.15,2,2,2,2,SMG,1,,,400,1 s,2 s,4,4 s,2 m,7 m,20%,20%,455 m,2 m,455 m,,,,455 m,2 m,4,LMG,0.5,,,500,2 s,1 s,10,5 s,2 m,35 m,20%,,875 m,88 m,595 m,,,,875 m,88 m,10,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Motorized|Marine|Airborne|Support
HIGHLANDERS,15,INF,Canada,FALSE,FALSE,FALSE,38 km/h,,10,80,40,,2,-0.15,2,2,2,2,Battle Rifle,1,,,1200,1 s,4 s,4,8 s,2 m,7 m,40%,10%,595 m,2 m,595 m,,,,595 m,2 m,4,LAW,1,18,,9,,1 s,1,6 s,2 m,147 m,60%,,700 m,,,,,,700 m,,20,LMG,0.5,,,1500,2 s,1 s,10,5 s,2 m,35 m,20%,,875 m,88 m,595 m,,,,875 m,88 m,10,1975,Motorized|Airborne|Support
MOTOSTRELKI '90,15,INF,Soviet Union,FALSE,FALSE,FALSE,30 km/h,,10,80,40,,2,-0.15,2,2,2,2,Assault Rifles,1,,,800,1 s,3 s,4,6 s,2 m,7 m,30%,15%,525 m,2 m,525 m,,,,525 m,2 m,4,LAW,1,24,,6,,1 s,1,6 s,2 m,184 m,50%,,525 m,,,,,,525 m,,20,LMG,0.5,,,1000,2 s,1 s,10,5 s,2 m,35 m,20%,,875 m,88 m,595 m,,,,875 m,88 m,10,1988,Mechanized|Motorized|Armored|Support
9K33M3 ROMB,65,SUP,Poland,FALSE,FALSE,TRUE,80 km/h,500 km,10,60,250,,1,,4,4,4,4,SAM,7,,,6,0 s,1 s,6,25 s,172 m,343 m,55%,,,,2800 m,560 m,3500 m,,,,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,Motorized|Marine|Support
9K33 OSA,30,SUP,Soviet Union,FALSE,FALSE,TRUE,80 km/h,500 km,10,60,250,,1,,4,4,4,4,SAM,7,,,4,1 s,1 s,4,20 s,172 m,343 m,35%,,,,2800 m,,2275 m,,,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,Motorized|Support
9K33 OSA-AK,45,SUP,Soviet Union,FALSE,FALSE,TRUE,80 km/h,500 km,10,60,250,,1,,4,4,4,4,SAM,7,,,6,0 s,1 s,6,25 s,172 m,343 m,50%,,,,2450 m,490 m,3150 m,,,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,Motorized|Support
9K33 OSA-AKM,65,SUP,Soviet Union,FALSE,FALSE,TRUE,80 km/h,500 km,10,60,250,,1,,4,4,4,4,SAM,7,,,6,0 s,1 s,6,25 s,172 m,343 m,55%,,,,2800 m,560 m,3500 m,,,,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,Motorized|Support
MT-LB STRELA-10M,45,SUP,Soviet Union,FALSE,FALSE,TRUE,60 km/h,500 km,10,60,120,,1,,1,1,1,1,SAM,6,,,12,1 s,2 s,4,10 s,147 m,294 m,50%,40%,,,2625 m,,2100 m,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Motorized|Marine|Airborne|Armored|Support
9K37 BUK,70,SUP,Soviet Union,FALSE,FALSE,FALSE,50 km/h,500 km,10,60,250,,1,0.05,1,1,1,1,SAM,9,,,4,0 s,1 s,4,30 s,221 m,441 m,50%,,,,2625 m,525 m,4200 m,,,,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,Mechanized|Armored|Support
9K37 BUK-M1,85,SUP,Soviet Union,FALSE,FALSE,FALSE,50 km/h,500 km,10,60,250,,1,0.05,1,1,1,1,SAM,9,,,4,0 s,1 s,4,30 s,221 m,441 m,65%,,,,2800 m,560 m,4550 m,,,,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,Mechanized|Armored|Support
AML 60/20 SERVAL,25,SUP,France,FALSE,FALSE,FALSE,90 km/h,600 km,10,40,10,,1,-0.05,1,1,1,1,Mortar,2,,30%,66,4 s,2 s,6,6 s,21 m,63 m,,,4200 m,420 m,,,,,4200 m,420 m,96,Main Gun,1,4,,7,1 s,1 s,1,10 s,2 m,105 m,30%,5%,1050 m,,,,,,1050 m,,15,Autocannon,1,2,,150,1 s,0 s,2,1 s,5 m,18 m,20%,10%,1575 m,,,,,,1575 m,,15,1965,Motorized|Marine|Airborne|Support
AMOS,65,SUP,Sweden,FALSE,FALSE,FALSE,65 km/h,500 km,10,60,10,,1,,5,3,2,2,Mortar,5,,30%,42,8 s,6 s,6,12 s,42 m,126 m,,,7700 m,770 m,,,,,7700 m,770 m,240,Main Gun,1,14,,8,1 s,0 s,2,6 s,2 m,210 m,25%,,1925 m,,,,,,1925 m,,40,,,,,,,,,,,,,,,,,,,,,,,1996,Mechanized|Motorized|Armored|Support
AMX-105 Mk.61,50,SUP,The Netherlands,FALSE,FALSE,FALSE,60 km/h,500 km,10,40,10,,1,,2,1,1,4,Howitzer,5,,30%,54,20 s,8 s,9,30 s,74 m,147 m,,,14700 m,1470 m,,,,,14700 m,1470 m,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,Mechanized|Motorized|Marine|Armored|Support
AMX-13 FL-12,35,REC,The Netherlands,FALSE,FALSE,FALSE,60 km/h,400 km,10,120,40,,1.5,-0.05,3,2,1,1,Main Gun,3,10,,24,1 s,3 s,12,20 s,2 m,184 m,40%,,1925 m,,,,,,1925 m,,180,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1960,Mechanized|Motorized|Marine|Airborne|Armored|Support
AMX-13 FL-15,35,TNK,The Netherlands,FALSE,FALSE,FALSE,60 km/h,400 km,10,60,20,,1,-0.05,3,2,1,1,Main Gun,3,12,,24,1 s,3 s,12,20 s,2 m,184 m,50%,,2100 m,,,,,,2100 m,,180,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Motorized|Marine|Airborne|Armored|Support
AMX-13 VTT,5,VHC,France,FALSE,FALSE,FALSE,65 km/h,480 km,10,60,20,,1,,3,2,1,1,MMG,0.75,,,2000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,Mechanized|Armored|Support
AMX-13 AU 105mm,50,SUP,France,FALSE,FALSE,FALSE,60 km/h,500 km,10,40,10,,1,,2,1,1,4,Howitzer,5,,30%,54,20 s,8 s,9,30 s,74 m,147 m,,,14700 m,1470 m,,,,,14700 m,1470 m,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,Mechanized|Motorized|Marine|Armored|Support
AMX-10P,15,VHC,France,FALSE,FALSE,TRUE,65 km/h,600 km,10,60,20,,1,,3,2,1,1,Autocannon,1,2,,840,1 s,0 s,2,1 s,5 m,18 m,20%,10%,1575 m,,,,,,1575 m,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,Mechanized|Armored
AMX/HOT,40,VHC,France,FALSE,FALSE,TRUE,65 km/h,600 km,10,60,40,,1,,3,2,1,1,ATGM,1,22,,16,2 s,1 s,4,20 s,4 m,280 m,50%,,2625 m,175 m,,,,,2625 m,175 m,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Motorized|Armored|Support
AMX-10P/MILAN,25,VHC,France,FALSE,FALSE,TRUE,65 km/h,600 km,10,60,40,,1,,3,2,1,1,Autocannon,1,2,,840,1 s,0 s,2,1 s,5 m,18 m,20%,10%,1575 m,,,,,,1575 m,,15,ATGM,1,17,,12,2 s,1 s,1,5 s,4 m,280 m,40%,,2450 m,175 m,,,,,2450 m,175 m,79,,,,,,,,,,,,,,,,,,,,,,,1973,Mechanized|Motorized|Armored|Support
AMX-10 RC,40,REC,France,FALSE,FALSE,TRUE,85 km/h,1000 km,10,120,40,,1.5,,3,2,1,1,Main Gun,3,12,,25,1 s,1 s,1,7 s,2 m,184 m,55%,,2100 m,,,,,,2100 m,,20,MMG,0.5,,,2000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Motorized|Marine
AMX-10 RC SB,40,TNK,France,FALSE,FALSE,FALSE,85 km/h,900 km,10,80,20,,1,,4,3,1,1,Main Gun,3,16,,25,1 s,1 s,1,7 s,2 m,184 m,55%,,2275 m,,,,,,2275 m,,20,MMG,0.5,,,2000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1991,Mechanized|Motorized|Marine|Armored
AMX-13/90,30,REC,France,FALSE,FALSE,FALSE,60 km/h,400 km,10,120,40,,1.5,-0.05,3,2,1,1,Main Gun,3,8,,24,1 s,3 s,12,20 s,2 m,158 m,40%,,1925 m,,,,,,1925 m,,180,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1966,Mechanized|Motorized|Marine|Airborne|Armored|Support
AMX-13 OEIL NOIR,35,SUP,France,FALSE,FALSE,FALSE,60 km/h,300 km,10,60,250,,1,,2,1,1,1,Twin Autocannon,1,,,1200,1 s,0 s,138,15 s,8 m,51 m,30%,,1050 m,,2625 m,,2450 m,,1050 m,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,Mechanized|Motorized|Marine|Armored|Support
AMX-13 HARPON,25,TNK,France,FALSE,FALSE,FALSE,60 km/h,400 km,10,60,20,,1,-0.05,3,2,1,1,Main Gun,2,6,,24,1 s,3 s,12,20 s,2 m,131 m,35%,,1750 m,,,,,,1750 m,,120,ATGM,1,17,,4,2 s,1 s,4,20 s,4 m,280 m,35%,,2450 m,175 m,,,,,2450 m,175 m,278,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,1974,Mechanized|Motorized|Marine|Airborne|Armored|Support
AMX-30,30,TNK,France,FALSE,FALSE,FALSE,60 km/h,600 km,10,60,20,,1,,6,3,2,1,Main Gun,3,9,,33,1 s,1 s,1,7 s,2 m,184 m,45%,,2100 m,,,,,,2100 m,,20,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1967,Mechanized|Motorized|Armored|Support
AMX-30B2,40,TNK,France,FALSE,FALSE,FALSE,70 km/h,600 km,10,80,20,,1,,7,4,2,2,Main Gun,3,12,,33,1 s,1 s,1,7 s,2 m,184 m,65%,,2100 m,,,,,,2100 m,,20,Autocannon,1,2,,960,1 s,0 s,2,1 s,5 m,18 m,20%,10%,1575 m,,,,,,1575 m,,15,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,1982,Mechanized|Motorized|Armored|Support
AMX-30B,35,TNK,France,FALSE,FALSE,FALSE,60 km/h,600 km,10,60,20,,1,,6,3,2,1,Main Gun,3,9,,33,1 s,1 s,1,7 s,2 m,184 m,45%,,2100 m,,,,,,2100 m,,20,Autocannon,1,2,,960,1 s,0 s,2,1 s,5 m,18 m,20%,10%,1575 m,,,,,,1575 m,,15,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,1971,Mechanized|Motorized|Armored|Support
AMX-30B2 BRENNUS,65,TNK,France,FALSE,FALSE,FALSE,70 km/h,600 km,10,80,20,,1,,11,5,2,2,Main Gun,3,16,,33,1 s,1 s,1,7 s,2 m,184 m,65%,,2275 m,,,,,,2275 m,,20,Autocannon,1,2,,960,1 s,0 s,2,1 s,5 m,18 m,20%,10%,1575 m,,,,,,1575 m,,15,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,1991,Mechanized|Motorized|Armored|Support
AMX-30 ROLAND,45,SUP,France,FALSE,FALSE,FALSE,60 km/h,600 km,10,60,120,,1,,3,2,2,1,SAM,5,,,10,1 s,1 s,2,10 s,123 m,245 m,50%,,,,2800 m,,2275 m,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,Mechanized|Armored|Support
AMX-30 ROLAND 3,60,SUP,France,FALSE,FALSE,FALSE,60 km/h,600 km,10,60,250,,1,,3,2,2,1,SAM,6,,,10,0 s,1 s,2,10 s,147 m,294 m,65%,,,,2800 m,560 m,3500 m,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,Mechanized|Armored|Support
AMX-32,70,TNK,France,FALSE,FALSE,FALSE,65 km/h,530 km,10,80,20,,1,,10,4,3,2,Main Gun,3,18,,27,1 s,1 s,1,7 s,2 m,210 m,65%,30%,2275 m,,,,,,2275 m,,25,Autocannon,1,2,,960,1 s,0 s,2,1 s,5 m,18 m,20%,10%,1575 m,,,,,,1575 m,,15,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,1979,Mechanized|Armored
AMX-40,80,TNK,France,FALSE,FALSE,FALSE,70 km/h,550 km,10,80,20,,1,,12,6,3,2,Main Gun,3,19,,27,1 s,1 s,1,7 s,2 m,210 m,65%,30%,2275 m,,,,,,2275 m,,25,Autocannon,1,2,,960,1 s,0 s,2,1 s,5 m,18 m,20%,10%,1575 m,,,,,,1575 m,,15,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,1985,Mechanized|Armored
AMX AuF1,110,SUP,France,FALSE,FALSE,FALSE,60 km/h,500 km,10,40,10,,1,0.05,3,2,1,2,Howitzer,7,,30%,36,30 s,8 s,6,30 s,109 m,217 m,,,23800 m,2380 m,,,,,23800 m,2380 m,290,Main Gun,1,14,,6,1 s,1 s,1,8 s,2 m,271 m,15%,,1925 m,,,,,,1925 m,,30,MMG,0.75,,,900,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,1980,Mechanized|Armored|Support
AMX-PRAT,25,VHC,The Netherlands,FALSE,FALSE,FALSE,65 km/h,480 km,10,60,40,,1,,3,2,1,1,ATGM,1,15,,8,2 s,1 s,1,5 s,4 m,280 m,50%,,2625 m,175 m,,,,,2625 m,175 m,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,Mechanized|Motorized|Armored|Support
AMX-PRI,5,VHC,The Netherlands,FALSE,FALSE,FALSE,65 km/h,480 km,10,60,20,,1,,3,2,1,1,MMG,0.75,,,2000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,Mechanized|Armored|Support
AMX-PRVR,10,LOG,The Netherlands,FALSE,FALSE,TRUE,65 km/h,,10,40,10,,1,-0.05,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,Mechanized|Marine|Armored|Support
COMMANDOS '90,20,INF,ANZAC,FALSE,FALSE,FALSE,38 km/h,,10,80,40,,2,-0.15,2,2,2,2,Assault Rifles,1,,,1200,1 s,2 s,6,3 s,2 m,7 m,45%,30%,525 m,2 m,525 m,,,,525 m,2 m,6,LAW,1,18,,6,,1 s,1,6 s,2 m,147 m,60%,,700 m,,,,,,700 m,,20,SAW,0.5,,,1800,2 s,1 s,20,5 s,2 m,35 m,40%,20%,770 m,,595 m,,,,770 m,,20,1990,Mechanized|Motorized|Airborne|Armored
